word,definition,otherMeanings,plural,present,imperfect,perfect,gender,"other information"
coquus,cook,chef,coqui,,,,m,""
filius,son,,filiī,,,,m,""
pater,father,,,,,,m,""
salve,hello,,salvete,,,,n,""
vale,goodbye,,valete,,,,n,""
et,and,,,,,,n,""
est,is,there is,,,,,n,""
in,in,on,,,,,n,""
sunt,are,they are,,,,,n,""
non,not,no,,,,,n,""
sed,but,,,,,,n,""
oppidum,town,,oppidi,,,,n,""
quoque,also,too,,,,,n,""
canis,dog,,canes,,,,n,""
hortus,garden,,,,,,n,""
servus,,,,,,,,""
via,,,,,,,,""
amicus,,,,,,,,""
ancilla,,,,,,,,""
cena,,,,,,,,""
cibus,,,,,,,,""
intro,,,,,,,,""
saluto,,,,,,,,""
porto,,,,,,,,""
video,,,,,,,,""
dominus,,,,,,,,""
laetus,,,,,,,,""
mercator,,,,,,,,""
audio,,,,,,,,""
dico,,,,,,,,""
unus,,,,,,,,""
duo,,,,,,,,""
tres,,,,,,,,""
quattuor,,,,,,,,""
quinque,,,,,,,,""
sex,,,,,,,,""
septem,,,,,,,,""
octo,,,,,,,,""
novem,,,,,,,,""
decem,,,,,,,,""
ad,,,,,,,,""
ecce,,,,,,,,""
magnus,,,,,,,,""
parvus,,,,,,,,""
ambulo,,,,,,,,""
iratus,,,,,,,,""
quis,,,,,,,,""
quid,,,,,,,,""
cur,,,,,,,,""
ubi,,,,,,,,""
sum,,,,,,,,""
eheu,,,,,,,,""
pecunia,,,,,,,,""
ego,,,,,,,,""
tu,,,,,,,,""
habeo,,,,,,,,""
respondeo,,,,,,,,""
venio,,,,,,,,""
rideo,,,,,,,,""
quod,,,,,,,,""
ex,,,,,,,,""
voco,,,,,,,,""
clamo,,,,,,,,""
specto,,,,,,,,""
taberna,,,,,,,,""
laboro,,,,,,,,""
femina,,,,,,,,""
vir,,,,,,,,""
puer,,,,,,,,""
puella,,,,,,,,""
multus,,,,,,,,""
urbs,,,,,,,,""
agricola,,,,,,,,""
curro,,,,,,,,""
hodie,,,,,,,,""
iuvenis,,,,,,,,""
meus,,,,,,,,""
senex,,,,,,,,""
sto,,,,,,,,""
optimus,,,,,,,,""
volo,,,,,,,,""
fortis,,,,,,,,""
emo,,,,,,,,""
pulso,,,,,,,,""
bonus,,,,,,,,""
malus,,,,,,,,""
festino,,,,,,,,""
per,,,,,,,,""
pugno,,,,,,,,""
scribo,,,,,,,,""
tuus,,,,,,,,""
paro,,,,,,,,""
cum,,,,,,,,""
facio,,,,,,,,""
heri,,,,,,,,""
ingens,,,,,,,,""
nihil,,,,,,,,""
omnis,,,,,,,,""
vendo,,,,,,,,""
navis,,,,,,,,""
prope,,,,,,,,""
rogo,,,,,,,,""
terreo,,,,,,,,""
inquit,,,,,,,,""
tamen,,,,,,,,""
eum,,,,,,,,""
eam,,,,,,,,""
duco,,,,,,,,""
saepe,,,,,,,,""
interficio,,,,,,,,""
habito,,,,,,,,""
silva,,,,,,,,""
statim,,,,,,,,""
totus,,,,,,,,""
pessimus,,,,,,,,""
cupio,,,,,,,,""
celeriter,,,,,,,,""
do,,,,,,,,""
iterum,,,,,,,,""
pulcher,,,,,,,,""
dies,,,,,,,,""
,,,,,,,,""
,,,,,,,,""
,,,,,,,,""
,,,,,,,,""
